番組ID,番組分類,ゲーム種別,番組名,バングミメイ,番組名補,バングミメイホ,放映話数,年齢制限,放映開始日
4506,"ゲーム","ロールプレイング","アイシア","アイシア","","","","","2001-02-22"
12432,"ドラマ","","愛しあってるかい!","アイシアッテルカイ","","","10","","1989-10-16"
1683,"劇場用アニメーション","","アイ・シティ","アイシティ","","","1","","1986-07-26"
6435,"ゲーム","アドベンチャー","愛してナイチンゲール","アイシテナイチンゲール","","","","18才以上","2003-08-29"
5,"テレビアニメーション","","愛してナイト","アイシテナイト","","","42","","1983-03-01"
6686,"テレビアニメーション","","愛してるぜベイベ★★","アイシテルゼベイベ","","","26","","2004-04-03"
5923,"オリジナルビデオアニメーション","","愛姉妹2~二人の果実~","アイシマイツーフタリノカジツ","","","2","18才以上","2003-02-28"
15240,"オリジナルビデオアニメーション","","愛姉妹・蕾…汚してください THE ANIMATION","アイシマイツボミヨゴシテクダサイジアニメーション","","","2","18才以上","2004-06-25"
9256,"ゲーム","アドベンチャー","愛姉妹~どっちにするの!!~","アイシマイドッチニスルノ","","","","18才以上","2006-10-27"
4631,"オリジナルビデオアニメーション","","愛姉妹~二人の果実~","アイシマイフタリノカジツ","","","3","18才以上","2001-04-27"
6,"テレビアニメーション","","愛少女ポリアンナ物語","アイショウジョポリアンナストーリー","","","51","","1986-01-05"
9519,"オリジナルビデオアニメーション","","ICE","アイス","","","3","","2007-05-25"
5560,"劇場用アニメーション","","ICE AGE","アイスエイジ","","","1","","2002-08-03"
11850,"劇場用アニメーション","","ICE AGE3","アイスエイジスリー","ティラノのおとしもの","ティラノノオトシモノ","1","","2009-07-25"
10983,"劇場用アニメーション","","ICE AGE2","アイスエイジツー","","","1","","2006-04-22"
7939,"オリジナルビデオアニメーション","","I''s Pure","アイズピュア","","","6","","2005-12-09"
10643,"ゲーム","その他","ai sp@ce","アイスペース","","","","","2008-10-16"
12433,"ドラマ","","愛するということ","アイスルトイウコト","","","11","","1993-01-08"
